bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary1.thisRepN,binary1.thisTrialN,binary1.thisN,binary1.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,outcome_loop.thisRepN,outcome_loop.thisTrialN,outcome_loop.thisN,outcome_loop.thisIndex,bdm_loop2.thisRepN,bdm_loop2.thisTrialN,bdm_loop2.thisN,bdm_loop2.thisIndex,binary2.thisRepN,binary2.thisTrialN,binary2.thisN,binary2.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm1_resp.keys,instr_bdm1_resp.rt,bdm_bid1.response,bdm_bid1.rt,instr_choice1_resp.keys,instr_choice1_resp.rt,key_resp_choice1.keys,key_resp_choice1.rt,confidence_rating1.response,confidence_rating1.rt,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_outcome.outcm_img,instr_infer_resp.keys,instr_infer_resp.rt,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,instr_bdm2_resp.keys,instr_bdm2_resp.rt,bdm_bid2.response,bdm_bid2.rt,instr_choice2_resp.keys,instr_choice2_resp.rt,key_resp_choice2.keys,key_resp_choice2.rt,confidence_rating2.response,confidence_rating2.rt,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,date,frameRate,expName,session,participant,
45-chewy_nougat.png,,,,,,,0,26,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
48-twix.png,,,,,,,0,27,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
17-jacobs_mini_cheddars.png,,,,,,,0,28,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,6.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
44-crunch.png,,,,,,,0,29,29,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
21-nakd_banana_crunch.png,,,,,,,0,30,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
13-mccoys_steak_crisps.png,,,,,,,0,31,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,4.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
36-fig_rolls.png,,,,,,,0,32,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,4.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
22-daim.png,,,,,,,0,33,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
26-walkers_smoky_bacon.png,,,,,,,0,34,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,2.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
18-mms.png,,,,,,,0,35,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
16-skips_prawn.png,,,,,,,0,36,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
25-kitkat.png,,,,,,,0,37,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
5-pineapple.png,,,,,,,0,38,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
7-olives.png,,,,,,,0,39,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.50422777197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
,3-dole_fruit_snack.png,13-mccoys_steak_crisps.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,3.09005977017,1.0,15.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
,26-walkers_smoky_bacon.png,44-crunch.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.57174976149,6.0,6.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
,2-steamed_puddings.png,20-fruit_pastilles.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,3.43618253158,6.0,1.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_17_1031,75.0800186254,infer_design1,001,P6,
