2.6073 	WARNING 	Movie2 stim could not be imported and won't be available
       [ 0.45, -0.45],
       [-0.45, -0.45]])
40.5520 	EXP 	Created feedback_box_left = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=u'yellow', lineColorSpace='named', lineRGB=array([ 255.,  255.,    0.]), lineWidth=5, name='feedback_box_left', opacity=1.0, ori=array(0.0), pos=array([-0.5,  0. ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
40.5523 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x03DFC130>: vertices = array([[-0.45,  0.45],
       [ 0.45,  0.45],
       [ 0.45, -0.45],
       [-0.45, -0.45]])
40.5529 	EXP 	Created feedback_box_right = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-5.0, fillColor=None, fillColorSpace=u'rgb', fillRGB=None, interpolate=True, lineColor=u'yellow', lineColorSpace='named', lineRGB=array([ 255.,  255.,    0.]), lineWidth=5, name='feedback_box_right', opacity=1.0, ori=array(0.0), pos=array([ 0.5,  0. ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
40.5653 	EXP 	Created rest_prompt_txt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.08, italic=False, name='rest_prompt_txt', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
44.3633 	EXP 	bdm_bid: flipVert = False
44.3633 	EXP 	bdm_bid: autoLog = True
44.3633 	EXP 	confidence_rating: flipVert = False
44.3633 	EXP 	confidence_rating: autoLog = True
44.3633 	EXP 	instr_main_txt: autoDraw = True
45.2477 	DATA 	Mouse: Left button down, pos=(744,698)
45.3810 	DATA 	Mouse: Left button up, pos=(740,695)
49.4643 	DATA 	Keypress: space
49.4808 	EXP 	instr_main_txt: autoDraw = False
49.4808 	EXP 	instr_bdm_txt: autoDraw = True
83.4470 	DATA 	Keypress: space
83.4633 	EXP 	Imported conditions/choice_design1_bdm.xlsx as conditions, 40 conditions, 1 params
83.4639 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
83.5187 	EXP 	New trial (rep=0, index=0): {u'bdm_img': u'42-mrkipling_lemon_slices.png'}
83.5371 	EXP 	RatingScale bdm_bid: reset()
83.5420 	EXP 	instr_bdm_txt: autoDraw = False
83.5420 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
83.5420 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/42-mrkipling_lemon_slices.png'
83.5420 	EXP 	fixation_text: autoDraw = True
84.5302 	EXP 	fixation_text: autoDraw = False
84.5469 	EXP 	bdm_pic: autoDraw = True
89.6976 	DATA 	Keypress: left
94.9976 	DATA 	Keypress: left
95.3974 	DATA 	Keypress: left
95.7307 	DATA 	Keypress: left
101.6140 	DATA 	Keypress: down
101.6141 	DATA 	RatingScale bdm_bid: (key response) rating=1.02
101.6141 	DATA 	RatingScale bdm_bid: rating RT=17.084
101.6141 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (1.0199999999999994, 17.084)]
101.6146 	EXP 	New trial (rep=0, index=1): {u'bdm_img': u'38-maltesers.png'}
101.6282 	EXP 	RatingScale bdm_bid: reset()
101.6325 	EXP 	fixation_text: autoDraw = False
101.6325 	EXP 	bdm_pic: autoDraw = False
101.6325 	EXP 	bdm_bid: autoDraw = False
101.6325 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
101.6325 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/38-maltesers.png'
101.6325 	EXP 	fixation_text: autoDraw = True
102.6299 	EXP 	fixation_text: autoDraw = False
102.6466 	EXP 	bdm_pic: autoDraw = True
105.4307 	DATA 	Keypress: left
106.2139 	DATA 	Keypress: right
111.6972 	DATA 	Keypress: down
111.6972 	DATA 	RatingScale bdm_bid: (key response) rating=1.08
111.6973 	DATA 	RatingScale bdm_bid: rating RT=9.067
111.6973 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (1.08, 9.067)]
111.6977 	EXP 	New trial (rep=0, index=2): {u'bdm_img': u'6-sour_patch_kids.png'}
111.7109 	EXP 	RatingScale bdm_bid: reset()
111.7153 	EXP 	fixation_text: autoDraw = False
111.7153 	EXP 	bdm_pic: autoDraw = False
111.7153 	EXP 	bdm_bid: autoDraw = False
111.7153 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
111.7153 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/6-sour_patch_kids.png'
111.7153 	EXP 	fixation_text: autoDraw = True
112.7131 	EXP 	fixation_text: autoDraw = False
112.7298 	EXP 	bdm_pic: autoDraw = True
116.0304 	DATA 	Keypress: left
116.3804 	DATA 	Keypress: left
118.3971 	DATA 	Keypress: left
121.1970 	DATA 	Keypress: down
121.1970 	DATA 	RatingScale bdm_bid: (key response) rating=0.8
121.1971 	DATA 	RatingScale bdm_bid: rating RT=8.484
121.1971 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.7999999999999996, 8.484)]
121.1975 	EXP 	New trial (rep=0, index=3): {u'bdm_img': u'46-pistachios.png'}
